id,category,description,image,location,mail,name,phone,url
17,School,"Middle School Al Imrane is a public school for students in the middle grades located in the Imrane region. The school provides a comprehensive academic program with a focus on developing critical thinking and problem-solving skills. It also offers extracurricular activities, including sports, music, and cultural events to support students' personal growth and interests. Teachers and staff are committed to creating a safe and welcoming learning environment that promotes excellence and respect for all students.",https://lh5.googleusercontent.com/p/AF1QipO-FPbJvdHGwsbcvxTeiA0EC3kDxWe4XpW3uMPH,https://goo.gl/maps/eN3romc3DtwgBjoF6,null,Middle School Al Imrane,0523563 981,https://groupe-scolaire-al-imrane-khouribga.business.site/?utm_source=gmb&utm_medium=referral
18,School,"School Ibn Abdoun is a leading educational institution that offers high-quality academic programs for students of all ages. Located in Morocco, the group is committed to providing a safe and welcoming environment where students can learn, grow, and thrive. With a team of passionate educators and state-of-the-art facilities, School Group Oussama Bnou Zaid is dedicated to helping students achieve their full potential and become successful global citizens.",https://cdn.discordapp.com/attachments/953060662463049808/1099367149933445233/placeholder1.png,https://goo.gl/maps/RoJHVsUgerBtaRBE6,null,School Ibn Abdoune,null,null
19,Institution,"ENMIG Established in 1997 by a group of experts in training, IT, and telecommunications, the ENMIG school aims to be a network of centers of excellence for training in the fields of New Information and Communication Technologies (NICT), Management and Business Skills, as well as Tourism, Hospitality, and Catering professions, as well as the paramedical field.",https://cdn.discordapp.com/attachments/953060662463049808/1099367149933445233/placeholder1.png,https://goo.gl/maps/7YPL3gdYRNbuGJx3A,null,ENMIG,0700410 562,http://www.enmigtp.com/
20,School,"Middle School Al Moatassim is an educational institution that provides a quality learning experience for middle school students. The school's faculty and staff are dedicated to helping students reach their potential both academically and socially through a balanced curriculum and engaging extracurricular activities. Students can expect to find a safe and supportive environment for learning, with a focus on developing critical thinking skills, independence, and respect for themselves and others. Middle School Al Moatassim aims to prepare students for a successful transition into high school and beyond.",https://lh5.googleusercontent.com/p/AF1QipPn16vv_n8Gvjfg2R1X--55_GhmMOjgsTVa8ZdC,https://goo.gl/maps/q5VH9iqTTmMNhFUy5,null,Middle School Al Moatassim,null,null
21,School,"Bsschool, or Business School, is an educational institution that offers academic programs and courses focused on teaching students advanced business and management skills. Bsschools are typically designed to prepare students for careers in various fields of business, such as accounting, finance, marketing, entrepreneurship, and more. Bsschools may offer undergraduate or graduate degrees, as well as specialized executive education programs for professionals seeking to enhance their skills and knowledge.",https://scontent.fcmn2-1.fna.fbcdn.net/v/t39.30808-6/306346985_497780809023285_4779829224722198458_n.jpg?stp=dst-jpg_p180x540&_nc_cat=111&ccb=1-7&_nc_sid=730e14&_nc_eui2=AeFVwKzpAhYNbPT6NI_6jZvkVhBuTf9wLHxWEG5N_3AsfLJUJFX2XWBkMDnswloLoUQDR5ks_ZEaJ9nCD9GYAY1s&_nc_ohc=4qE1pLxrlm0AX-KLJbB&_nc_ht=scontent.fcmn2-1.fna&oh=00_AfDOOQ7lq48P5-v-igq_YEHY7p0TbbAbgBiMILQGEiIrkQ&oe=6448178B,https://goo.gl/maps/kYeuCRodaGQBKTML7,null,Bsschool,0687967 041,https://www.bsschool.sk/
22,School,"School Dar Zitouna Privée is a private educational institution located in Tunisia that offers quality education to students from kindergarten up to high school. It provides a nurturing and inclusive learning environment that promotes the holistic development of its students, emphasizing not only on academic excellence but also on character-building, creativity, and leadership. The school boasts of highly-experienced and dedicated teachers who use a comprehensive and innovative curriculum to equip students with the necessary skills, knowledge, and values to succeed in their future endeavors.",https://lh5.googleusercontent.com/p/AF1QipNsJy8o4Bstg9bYgGr5L_WtAXpRP3AX8xYieODP,https://goo.gl/maps/ert2RSNcUBf8owU57,null,School Dar Zitouna Privée,null,https://www.facebook.com/Darz1itouna
23,School,"Schools Le Savoir is a leading education institution dedicated to providing high-quality education and fostering academic excellence in students of all ages. With a diverse range of programs and experienced educators, our schools are committed to helping students reach their full potential and prepare them for success in their future endeavors.",https://lh5.googleusercontent.com/p/AF1QipMnxWOB55rL3-yZDoJoamKCcTGvx6LsyhA7R6uE,https://goo.gl/maps/vWPVere2aYAEMmwg9,null,Schools Le Savoir,0523560 030,null
24,School,"School Le Grand Maghreb is a prestigious educational institution located in North Africa, providing students with a world-class education that prepares them for success in their future endeavors. With a focus on academic excellence, innovation, and global perspectives, School Le Grand Maghreb offers a wide range of programs and opportunities for students to grow intellectually, socially, and personally. With highly qualified faculty, state-of-the-art facilities, and a supportive learning environment, School Le Grand Maghreb is the ideal place for students to achieve their academic goals and reach their full potential.",https://lh5.googleusercontent.com/p/AF1QipOtoMyDOW1RZtW2s2MmxP9kDAUSohXPO_Qk5EtQ,https://goo.gl/maps/wjgYy3aZ5s4wXzSi9,null,School Le Grand Maghreb,null,null
25,School,"Beethoven School of Music De Khouribga is a renowned music learning institution located in the city of Khouribga, Morocco. The school provides music education for students of all ages and skill levels, offering a wide range of programs and courses in various musical instruments, music theory, and performance. With experienced instructors, state-of-the-art facilities, and a strong commitment to excellence, the Beethoven School of Music De Khouribga is the perfect place to start or continue your musical journey.",https://cdn.discordapp.com/attachments/953060662463049808/1099367149933445233/placeholder1.png,https://goo.gl/maps/4271YAJNJNFr4nxk8,null,Beethoven School Of Music De Khouribga,0644122 597,null
26,School,"School Al Azhar is a well-respected educational institution that provides quality education to students. With a focus on academic excellence and a nurturing environment, the school helps prepare its students for success in their future endeavors. Through an innovative curriculum and dedicated faculty, School Al Azhar aims to foster a love of learning and encourage personal growth.",https://cdn.discordapp.com/attachments/953060662463049808/1099367149933445233/placeholder1.png,https://goo.gl/maps/qcxuLEXpAKMyYbhr7,null,School Al Azhar,null,null
27,School,"Middle School Al Massira is a public educational institution located in an urban area that offers comprehensive academic programs for students in grades 6-8. The school is committed to promoting a safe and supportive learning environment that fosters the intellectual, social, and emotional development of its students. With a focus on rigorous academic standards, Middle School Al Massira provides a challenging and rewarding educational experience that prepares students for success in high school and beyond.",https://lh5.googleusercontent.com/p/AF1QipNaa4_06SWX2-NVboYiPkp0tPEZ2XNpT5-AQ-8B,https://goo.gl/maps/AEgeyLRgmFNT6Sk36,null,Middle School Al Massira,null,null
28,School,"High School Al Imam Malek is a secondary educational institution that provides students with a comprehensive academic program, covering various subjects including science, mathematics, history, and languages. Located in a welcoming environment, this school offers students the opportunity to enhance their learning experience and develop their critical thinking skills through a variety of extracurricular activities and programs. The school aims to prepare its students for higher education and future careers, while promoting a culture of respect, diversity, and community involvement.",https://cdn.discordapp.com/attachments/953060662463049808/1099367149933445233/placeholder1.png,https://goo.gl/maps/Vb8PdR79PRxdNwUn6,null,High School Al Imam Malek,null,null
29,Institution,Institution Ajial is a non-profit organization that aims to empower and support underprivileged individuals and communities through various educational and development programs. They focus on promoting social justice and providing opportunities for individuals to reach their full potential.,https://lh5.googleusercontent.com/p/AF1QipPiZxvgMaWWeLOCn9ZGA_3HMqJzqO_nw1qo47E,https://goo.gl/maps/bn1Qx7Rm7yBX3n3Z7,null,Institution Ajial,0680552 059,null
30,School,"Primary School Fatima Azzahraa is an educational institution that provides primary education to children from different backgrounds. The school is committed to providing a safe, nurturing and stimulating environment that helps to foster the social, emotional, and academic development of every child. With a team of experienced teachers and modern teaching facilities, the school ensures that every child receives a high-quality education that prepares them for their future academic and personal endeavors.",https://cdn.discordapp.com/attachments/953060662463049808/1099367149933445233/placeholder1.png,https://goo.gl/maps/JJazPxQFjyGYeCMs9,null,Primary School Fatima Azzahraa,0523491 887,null
31,School,"1337 School is a cutting-edge educational institution focused on development of high-quality programming skills. With a strong emphasis on practical training and collaboration, our school prepares students with the latest programming techniques and technologies to equip them for successful careers in the tech industry.",https://lh5.googleusercontent.com/p/AF1QipPMt6KXtrxlbXrdLgeAbMPSkz0gmhnU4zj7H7an,https://goo.gl/maps/AsUd7P3XeuEjSvPV9,null,1337 School,0641758 099,http://1337.ma/
32,Institution,"As Soleil Autisme is an organization dedicated to supporting and advocating for individuals with autism spectrum disorder and their families. Through a variety of programs and services, they strive to improve the lives of those affected by autism and promote greater understanding and acceptance of the condition in society.",https://lh5.googleusercontent.com/p/AF1QipN4EiPGvdrKODD871HIHFJ_ivjxNx575wbvC09z,https://goo.gl/maps/oCudQKQ6yVGMGAMw5,null,As Soleil Autisme,0675008 485,null
33,School,"School Al-Irfane is a private school that provides a quality education to its students. The school has a strong focus on academic excellence, spiritual growth, and character development. With experienced teachers and a supportive learning environment, students are prepared to succeed in their academic and personal pursuits.",https://cdn.discordapp.com/attachments/953060662463049808/1099367149933445233/placeholder1.png,https://goo.gl/maps/R3fgQd8CbAzsnT6W8,null,School Al-Irfane,0523564 916,null
34,School,"School Group Wikikids is an educational resource platform designed for students, teachers, and parents. It features a comprehensive database of articles and information on a wide range of topics, including science, history, literature, and more. The platform allows for easy access to vital educational resources, enabling students to succeed academically and enrich their learning experience. Additionally, it offers a collaborative environment where users can interact and share their knowledge through discussion forums and user-generated content.",https://lh5.googleusercontent.com/p/AF1QipNC4voL5IaergFC1Z4flgQfxT1PojNOM7Gtq50t,https://goo.gl/maps/hsuNXP3pTCv61ZaB7,null,School Group Wikikids,0612169 585,null
35,School,"Ecole Abdelillah de Coiffure et d'esthétique is a beauty and cosmetology school that provides professional training in hair styling, beauty and skincare techniques, as well as other related fields. The school is committed to offering high-quality education to prepare students for successful careers in the beauty and wellness industry.",https://cdn.discordapp.com/attachments/953060662463049808/1099367149933445233/placeholder1.png,https://goo.gl/maps/crBTU8ycVMwxEnvz5,null,Ecole Abdelillah de Coiffure et d'esthétique,0699224 440,null
36,Institution,"Groupe Scolaire Abir Essaoussen is a school group located in Tunisia that provides quality education to students from preschool to high school. The school is committed to providing a safe and nurturing environment that encourages academic excellence, personal growth, and social responsibility. With a team of experienced educators and a comprehensive curriculum, Groupe Scolaire Abir Essaoussen strives to prepare students for success in the modern world.",https://lh5.googleusercontent.com/p/AF1QipM7q5RReZ4rViQclrmW63IhvqlQlJZoIZbpWUfZ,https://goo.gl/maps/sTNdLxBiiBZDtrU8A,null,Groupe Scolaire Abir Essaoussen,0523495 741,https://web.facebook.com/AbirEssaoussen
37,School,"School Group Ampère is a network of schools located throughout France that provides students with quality education and various educational programs. The schools in the network are committed to fostering leadership, critical thinking, and creativity among their students, as well as promoting a supportive learning environment. With a strong emphasis on innovation and excellence, School Group Ampère is dedicated to helping students achieve their full potential and prepare for success in their future endeavors.",https://lh5.googleusercontent.com/p/AF1QipNiNDjJjQIpdRydlc2jPabpCgi5vOkeQMuTc7ka,https://goo.gl/maps/jQyULfPQgSoHUrFY6,null,School Group Ampère,null,null
38,School,"High School Al mowahidin is a secondary educational institution dedicated to providing a quality education to students in their teenage years. It offers a diverse curriculum that prepares students for higher education or entry into the workforce. At High School Al mowahidin, students engage in a range of academic, extracurricular, and athletic activities that help develop their skills and interests. The teachers and staff members are committed to creating a safe and supportive learning environment for all students.",https://lh5.googleusercontent.com/p/AF1QipNmwlofFklzHYOR2ouGYHCxKsJOzniB3V_ZH8-T,https://goo.gl/maps/Y53YoKzeq7yRfqB29,null,High School Al mowahidin,null,null
39,School,"Primary School Nour Assalam is a modern primary school that prioritizes the development of its students' academic and personal growth. The school utilizes innovative teaching methods and up-to-date curriculum to provide a comprehensive educational experience that supports each student's unique needs and learning style. It is dedicated to fostering a safe, supportive, and inclusive learning environment where students can thrive and develop essential life skills.",https://lh5.googleusercontent.com/p/AF1QipO1NsZiYuBKagunoIb_7DJrnpXQ-n4rrYqaQjE2,https://goo.gl/maps/xCsxyhxcxwR1u58E8,null,Primary School Nour Assalam,0767475 125,null
40,School,"Complexe ACHOROUK pour l'enseignement privé is a private educational institution that provides a range of academic programs to students in Algeria. The school is focused on providing a high-quality education that focuses on developing the intellectual, social, and personal growth of each student. With experienced teachers and modern facilities, Complexe ACHOROUK aims to prepare students for success in their future academic and professional pursuits.",https://lh5.googleusercontent.com/p/AF1QipPGQLN2nBxEvWfwRCWCPYf94hIrsA90ZyekAi4V,https://goo.gl/maps/iav6VqSHRW9WVzcn8,null,Complexe ACHOROUK pour l'enseignement privé,0523563 401,null
41,Institution,"Establishment Al Mouatassim is a general contractor and construction company that is committed to delivering high-quality solutions for various construction needs in the Middle East. They offer comprehensive services that include project management, contracting, engineering, and consultancy services to both private and public sectors. They have a proven track record of delivering successful projects that meet the needs and expectations of their clients.",https://cdn.discordapp.com/attachments/953060662463049808/1099367149933445233/placeholder1.png,https://goo.gl/maps/5tkLSjxgAzRgNFAEA,null,Establishment Al Mouatassim,0523565 056,null
42,Institution," A company that specializes in architecture services in the Khouribga region. They may provide design, planning, and project management services for a variety of buildings and structures, including residential, commercial, and institutional buildings.",https://lh5.googleusercontent.com/p/AF1QipO9gOlZ5_v3dpVcKdDmxuUiVC_I6pSpCyyfqty0,https://goo.gl/maps/i6kamBTHWWLTsFibA,null,ESPACE 9,0523493 847,https://espace9.business.site/
43,Institution,"ANAPEC stands for Agence Nationale de Promotion de l'Emploi et des Compétences. It is a public organization in Morocco that functions as a mediator between companies and job seekers. ANAPEC helps job seekers to find suitable job opportunities, and also assists companies in recruiting skilled and qualified employees. The organization also promotes entrepreneurship and provides training programs to enhance the skills and competencies of the Moroccan workforce.",https://lh5.googleusercontent.com/p/AF1QipN32tGeCsONvhU4rCCKp34vf3-wjIVjKDFoSi87,https://goo.gl/maps/5NrwhjeUdvGZsbSf7,null,ANAPEC,0523494 452,http://www.anapec.org/
44,University,"University Sultan Moulay Slimane is a public university located in the city of Beni-Mellal, Morocco. It offers a variety of undergraduate and graduate programs in fields such as science, literature, social sciences, engineering, and law. The university is committed to providing quality education and promoting research and innovation in various disciplines.",https://lh5.googleusercontent.com/p/AF1QipN0u0yFOLp0u2RzRt85eK8ORG6h0qz5GGsbUqnC,https://goo.gl/maps/ErV7nKYGBQUBd8hP9,null,University Sultan Moulay Slimane,0523721 274,http://www.fpk.ac.ma/
45,University,"ENSA - École nationale des sciences appliquées de Khouribga is a public engineering school located in Khouribga, Morocco. The school offers high-quality engineering programs in various fields such as computer science, electrical engineering, mechanical engineering, and more. The curriculum is designed to provide students with the necessary theoretical knowledge and practical skills to excel in their future careers. ENSA's mission is to produce highly skilled engineers who can contribute to the development of sustainable solutions and innovation in the industry.",https://lh5.googleusercontent.com/p/AF1QipO-Y_z4FIz4UDclA7FNs8SLC_0WKi19WMJ1VIZH,https://goo.gl/maps/fA7JWLKTJfSrXQWdA,null,ENSA - École nationale des sciences appliquées de Khouribga,0618534 372,http://ensak.usms.ac.ma/ensak/
46,Institution,"Institut de Formation en Technologie des Chantiers is a training institute that specializes in providing education and training in construction technology. Their programs are designed to prepare students for a career in the construction industry by providing them with the necessary knowledge and skills to succeed in this field. They offer a wide range of courses and training programs, including hands-on training and experiential learning opportunities, to ensure that students are well-equipped to meet the demands of the construction industry.",https://lh5.googleusercontent.com/p/AF1QipPcX7w4C8tJiSi596Ah_bMxix2sBAuEHOZkT69d,https://goo.gl/maps/P6tkUbyygEmwZpqx9,null,Institut de Formation en Technologie des Chantiers,0661507 678,null
47,University,"INCIA stands for Institut de Neurosciences Cognitives et Intégratives d'Aquitaine. It is a research center located in Bordeaux, France, that specializes in cognitive neuroscience, psychology, and psychiatry. The center focuses on studying brain function and behavior, with the goal of better understanding the workings of the human brain and developing new treatments for neurological and psychiatric disorders.",https://lh5.googleusercontent.com/p/AF1QipNfhnH82jKTiAdJ_weQee97UQYaJ5_GmGr1uAvj,https://goo.gl/maps/qniUQt9g1uB14TQk8,null,INCIA,null,null
48,School,"High School Iban Yassine is a typical secondary school that provides education to young people in the local community. It offers a comprehensive education program that aims to equip students with the knowledge, skills, and attitudes needed to succeed in life after graduation. The school provides a safe and supportive learning environment, and offers a range of extra-curricular activities, sports, and clubs to help students develop their interests and talents. High School Iban Yassine is committed to helping students realize their full potential and achieve their academic and personal goals.",https://cdn.discordapp.com/attachments/953060662463049808/1099367149933445233/placeholder1.png,https://goo.gl/maps/a5vZhsfKpbZNJhqE9,null,High School Iban Yassine,null,null
49,University,"Faculté Polydisciplinaire is a multidisciplinary faculty that offers a diverse range of academic programs in various fields such as science, technology, humanities, and social sciences. It is known for its high-quality education, innovative research, and commitment to providing its students with a well-rounded education that prepares them for success in their chosen professions.",https://cdn.discordapp.com/attachments/953060662463049808/1099367149933445233/placeholder1.png,https://goo.gl/maps/ErV7nKYGBQUBd8hP9,null,Faculté Polydisciplinaire,null,null
50,Institution,"Khouribga Skills Center is a vocational training center located in Khouribga, Morocco. It offers a variety of career-oriented programs and courses to help individuals develop the skills and knowledge necessary to succeed in today's competitive job market. The center's mission is to provide high-quality education and training services that prepare students for successful careers in their chosen fields.",https://lh5.googleusercontent.com/p/AF1QipO1BPSQToZuVCzSGTfzhNgIrfttFb46ZyXK3GVi,https://goo.gl/maps/hwPcffJ7VmYJQWME9,null,Khouribga Skills Center,null,https://www.facebook.com/Tmax332
51,University,"EMEP (Ecole Marocaine de l'Electronique Pratique) is a Moroccan vocational training center that specializes in practical electronic education. Their programs are geared towards providing students with the skills and knowledge needed to succeed in the electronics industry, with a focus on hands-on training and real-world applications. EMEP aims to equip students with a diverse skillset that will allow them to thrive in a rapidly evolving technological landscape.",https://cdn.discordapp.com/attachments/953060662463049808/1099367149933445233/placeholder1.png,"https://www.google.com/maps/place/Ecole+Marocaine+de+l'Electronique+Pratique+EMEP/@32.8865866,-6.9202007,14z/data=!4m14!1m7!3m6!1s0xda427ffef5fd1f7:0xbbfeb6ff2895b042!2sEcole+Marocaine+de+l'Electronique+Pratique+EMEP!8m2!3d32.8865866!4d-6.9202007!16s%2Fg%2F1hf3xbcl_!3m5!1s0xda427ffef5fd1f7:0xbbfeb6ff2895b042!8m2!3d32.8865866!4d-6.9202007!16s%2Fg%2F1hf3xbcl_",null,Ecole Marocaine de l'Electronique Pratique EMEP,null,null
52,School,"HEPPA (High-Energy Particle Precipitation in the Atmosphere) is a scientific phenomenon that occurs in Earth's atmosphere, where high-energy particles travel from outer space and interact with atmospheric gases, ultimately leading to the creation of secondary particles and other effects. HEPPA research is important for understanding the impacts of space weather on Earth’s climate, as well as for advancing our knowledge of atmospheric physics and chemistry.",https://lh5.googleusercontent.com/p/AF1QipND9yDKfI8eKM50ZwGGz5_PVL5BVgRaMj4kOk1y,https://goo.gl/maps/72AroMzdnkNr2PCD6,null,HEPPA,0675405 348,http://heppa-khouribga.weebly.com/
53,School,"Collège Badr is a private school located in Montreal, Quebec, that offers a bilingual education to students from kindergarten to grade 11. The school provides a welcoming and stimulating environment for its students, with a focus on academic excellence and the development of critical thinking and communication skills. Its curriculum follows the guidelines set by the Ministry of Education in Quebec and includes a range of subjects such as math, science, social studies, and language arts. The staff at Collège Badr are dedicated professionals who create a nurturing and inclusive community where students can thrive and reach their full potential.",https://lh5.googleusercontent.com/p/AF1QipNst8rbakvl9LTFqOF3UvL8VjlUMQUkrYU1VcEI,https://goo.gl/maps/WsT9qU7eUKz2aKx17,null,Collège Badr,0660001 599,null
54,School,"School Okba Ibn Nafie is a reputable educational institution that provides quality education to students from various backgrounds. With a focus on academic excellence, character development, and community involvement, the school prepares students for success in their future careers and personal lives. The school offers a diversified curriculum, highly qualified teachers, modern facilities, and a supportive learning environment to help students achieve their full potential. Overall, School Okba Ibn Nafie is a great place for students to learn, grow, and thrive.",https://lh5.googleusercontent.com/p/AF1QipNv_xqW4-AYiJl3vvgmHtu9q3fNCe0mVrRjp4rh,https://goo.gl/maps/cne8NiGqj3jcGAbQ7,null,School Okba Ibn Nafie,null,null
